ID,性別,高齢者フラグ,既婚,扶養家族,在職期間,電話サービス,複数回線,インターネットサービス,セキュリティサービス,バックアップサービス,機器予防サービス,テクニカルサポート,ストリーミングサービス（TV),ストリーミングサービス（映画),契約期間,電子請求書,支払い方法,月額支払額,通算支払額,解約
9495-SKLKD,男性,非高齢者,既婚,あり,45,あり,複数回線,Fiber optic,なし,あり,あり,なし,なし,あり,毎月更新,電子請求書,口座引き落とし,95.95,4456.65,No
6048-UWKAL,女性,高齢者,既婚,なし,69,あり,複数回線,Fiber optic,なし,あり,なし,あり,あり,あり,2年更新,紙請求書,クレジットカード,105.4,6998.95,No
5067-DGXLL,男性,非高齢者,未婚,なし,2,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.25,36.8,No
5469-CTCWN,男性,非高齢者,既婚,あり,61,あり,複数回線,Fiber optic,あり,あり,なし,なし,あり,あり,1年更新,電子請求書,電子決済,106,6547.7,Yes
9851-QXEEQ,男性,非高齢者,未婚,なし,41,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,毎月更新,電子請求書,電子決済,104.7,4346.4,Yes
6281-FKEWS,女性,非高齢者,未婚,なし,44,なし,電話契約なし,DSL,なし,なし,あり,なし,あり,あり,1年更新,電子請求書,電子決済,49.05,2265,No
8898-KASCD,男性,非高齢者,未婚,なし,39,なし,電話契約なし,DSL,なし,なし,あり,あり,なし,なし,1年更新,紙請求書,郵送小切手,35.55,1309.15,No
9242-TKFSV,男性,非高齢者,既婚,あり,72,なし,電話契約なし,DSL,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,65.1,4754.3,No
9290-SHCMB,女性,高齢者,未婚,なし,13,あり,1回線,Fiber optic,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,電子決済,96.85,1235.55,No
0743-HNPFG,女性,非高齢者,既婚,あり,51,あり,1回線,DSL,あり,あり,なし,あり,なし,あり,1年更新,電子請求書,クレジットカード,69.75,3562.5,No
2277-BKJKN,女性,高齢者,既婚,なし,71,あり,1回線,Fiber optic,なし,あり,あり,なし,あり,あり,2年更新,電子請求書,電子決済,99.2,7213.75,No
9809-IMGCQ,男性,高齢者,未婚,なし,22,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,96.7,2082.95,Yes
5208-HFSBT,女性,非高齢者,未婚,なし,2,あり,1回線,DSL,なし,あり,なし,あり,なし,なし,毎月更新,電子請求書,クレジットカード,55.05,102.75,Yes
5035-PGZXH,女性,非高齢者,未婚,なし,56,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,1年更新,電子請求書,電子決済,106.8,5914.4,No
8695-WDYEA,男性,非高齢者,未婚,なし,1,あり,1回線,DSL,あり,なし,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,51.25,51.25,No
6543-JXSOO,女性,非高齢者,既婚,あり,23,あり,1回線,DSL,あり,あり,なし,あり,なし,なし,1年更新,電子請求書,郵送小切手,57.75,1282.85,No
8016-ZMGMO,女性,高齢者,既婚,なし,66,あり,複数回線,DSL,なし,あり,あり,なし,あり,なし,1年更新,電子請求書,口座引き落とし,70.85,4738.85,No
8605-ITULD,女性,非高齢者,未婚,なし,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,19.55,19.55,No
3254-YRILK,男性,高齢者,未婚,なし,19,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,88.2,1775.8,Yes
6416-YJTTB,男性,非高齢者,未婚,なし,11,あり,1回線,Fiber optic,あり,なし,あり,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,79.5,795.65,No
2667-WYLWJ,女性,非高齢者,既婚,あり,8,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,電子請求書,郵送小切手,19.75,145,Yes
4472-VESGY,女性,非高齢者,既婚,あり,52,あり,複数回線,Fiber optic,あり,あり,あり,なし,なし,あり,毎月更新,紙請求書,口座引き落とし,98.15,4993.4,No
3195-TQDZX,男性,非高齢者,未婚,なし,3,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,電子請求書,電子決済,20.25,61.45,No
3128-YOVTD,女性,非高齢者,既婚,あり,51,あり,1回線,Fiber optic,あり,あり,なし,なし,なし,なし,毎月更新,電子請求書,口座引き落とし,79.15,4018.55,No
0529-ONKER,男性,高齢者,未婚,なし,15,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,75.65,1146.65,Yes
1728-CXQBE,男性,高齢者,既婚,なし,64,あり,複数回線,Fiber optic,なし,あり,あり,なし,なし,あり,毎月更新,電子請求書,電子決済,94.25,6081.4,No
7041-TXQJH,女性,非高齢者,未婚,なし,37,なし,電話契約なし,DSL,なし,なし,あり,なし,なし,あり,毎月更新,電子請求書,クレジットカード,40.2,1478.85,No
5014-GSOUQ,男性,非高齢者,未婚,なし,13,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,19.95,243.65,No
5724-BIDBU,男性,非高齢者,既婚,なし,49,あり,複数回線,DSL,あり,なし,なし,なし,なし,なし,1年更新,電子請求書,電子決済,55.35,2633.95,No
0481-SUMCB,女性,高齢者,未婚,なし,45,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,あり,1年更新,電子請求書,口座引き落とし,102.15,4735.35,No
1769-GRUIK,女性,非高齢者,未婚,なし,18,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,71.1,1247.75,No
5240-IJOQT,男性,高齢者,未婚,なし,1,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,74.7,74.7,Yes
8819-WFGGJ,男性,非高齢者,既婚,なし,68,なし,電話契約なし,DSL,あり,なし,あり,なし,あり,あり,2年更新,電子請求書,口座引き落とし,54.1,3794.5,No
7427-AUFPY,男性,非高齢者,未婚,なし,54,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,19.65,1008.7,No
2811-POVEX,女性,高齢者,既婚,あり,23,あり,1回線,Fiber optic,なし,あり,あり,なし,なし,あり,毎月更新,電子請求書,口座引き落とし,88.45,2130.55,No
1092-GANHU,男性,非高齢者,未婚,なし,17,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,電子決済,76.65,1313.55,Yes
7898-PDWQE,男性,非高齢者,既婚,なし,71,あり,複数回線,DSL,あり,あり,あり,あり,なし,あり,2年更新,紙請求書,クレジットカード,80.4,5727.15,No
9972-EWRJS,女性,非高齢者,既婚,あり,67,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,口座引き落とし,19.25,1372.9,No
9314-IJWSQ,女性,非高齢者,既婚,あり,14,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,84.8,1203.9,No
0661-XEYAN,女性,高齢者,未婚,なし,1,なし,電話契約なし,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,郵送小切手,25.8,25.8,Yes
5799-JRCZO,女性,非高齢者,未婚,あり,63,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,19.5,1215.1,No
1921-KYSAY,女性,非高齢者,未婚,なし,41,あり,複数回線,DSL,なし,なし,あり,あり,なし,あり,1年更新,電子請求書,電子決済,68.6,2877.05,No
6198-RTPMF,女性,非高齢者,既婚,なし,17,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,92.6,1579.7,No
2924-KHUVI,男性,非高齢者,既婚,なし,56,あり,複数回線,Fiber optic,あり,なし,なし,なし,あり,あり,1年更新,電子請求書,電子決済,100.55,5514.95,No
1925-GMVBW,女性,非高齢者,未婚,なし,5,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,クレジットカード,20.55,96.1,No
7881-EVUAD,女性,非高齢者,未婚,なし,2,なし,電話契約なし,DSL,あり,あり,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,42.6,72.4,Yes
6184-DYUOB,女性,非高齢者,既婚,なし,3,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,電子請求書,郵送小切手,19.6,55.25,No
9207-ZPANB,男性,非高齢者,未婚,なし,37,あり,複数回線,DSL,あり,あり,あり,あり,なし,なし,1年更新,紙請求書,電子決済,67.45,2443.3,No
5766-XQXMQ,女性,非高齢者,未婚,なし,29,あり,1回線,DSL,あり,あり,あり,なし,なし,あり,毎月更新,電子請求書,口座引き落とし,68.85,1970.5,Yes
9327-QSDED,男性,非高齢者,未婚,なし,8,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,郵送小切手,43.55,335.4,No
1656-DRSMG,女性,非高齢者,未婚,なし,63,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,毎月更新,電子請求書,クレジットカード,109.85,7002.95,No
3012-VFFMN,女性,非高齢者,既婚,あり,7,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.65,158.95,No
2984-AFWNC,女性,非高齢者,未婚,なし,3,あり,1回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,95.4,293.15,No
0640-YJTPY,男性,非高齢者,既婚,あり,72,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,21,1493.75,No
8096-LOIST,女性,非高齢者,未婚,なし,19,あり,1回線,DSL,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,56.2,1093.4,No
9764-REAFF,女性,非高齢者,既婚,なし,59,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,18.4,1057.85,No
3703-VAVCL,男性,非高齢者,既婚,あり,2,あり,1回線,Fiber optic,なし,なし,あり,あり,なし,あり,毎月更新,紙請求書,クレジットカード,90,190.05,Yes
7107-UBYKY,女性,非高齢者,既婚,あり,35,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,電子請求書,電子決済,25.75,882.55,No
4881-GQJTW,男性,非高齢者,未婚,なし,14,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,クレジットカード,19.6,300.4,No
8519-QJGJD,女性,非高齢者,未婚,なし,14,あり,1回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,紙請求書,電子決済,75.35,1025.95,Yes
7876-DNYAP,女性,非高齢者,既婚,あり,69,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,クレジットカード,19.8,1436.95,No
7905-NJMXS,男性,高齢者,既婚,なし,7,あり,複数回線,DSL,あり,あり,なし,あり,なし,なし,毎月更新,紙請求書,電子決済,64.2,475,No
2882-WDTBA,男性,非高齢者,既婚,あり,69,あり,1回線,DSL,あり,あり,あり,あり,あり,なし,2年更新,電子請求書,口座引き落とし,75.75,5388.15,No
2091-GPPIQ,女性,非高齢者,既婚,あり,72,あり,複数回線,DSL,なし,あり,なし,あり,あり,あり,2年更新,電子請求書,電子決済,78.95,5730.15,No
6326-MTTXK,男性,非高齢者,未婚,なし,8,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,紙請求書,電子決済,100.85,819.55,Yes
5071-FBJFS,女性,非高齢者,既婚,あり,4,あり,1回線,DSL,あり,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,50.3,217.1,No
2796-UUZZO,男性,非高齢者,既婚,あり,63,あり,1回線,Fiber optic,なし,あり,あり,なし,なし,なし,毎月更新,電子請求書,クレジットカード,80.3,4896.35,No
2429-AYKKO,男性,非高齢者,未婚,なし,72,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,19.85,1434.1,No
9798-OPFEM,女性,非高齢者,未婚,なし,46,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,電子決済,21.1,937.1,No
0330-IVZHA,女性,非高齢者,既婚,なし,5,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,69.95,330.15,Yes
3794-NFNCH,男性,非高齢者,既婚,なし,30,あり,1回線,DSL,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,郵送小切手,50,1474.9,No
5193-QLVZB,男性,非高齢者,未婚,なし,63,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,2年更新,電子請求書,口座引き落とし,104.75,6536.5,No
7114-AEOZE,女性,非高齢者,未婚,なし,60,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,19.85,1128.1,No
2886-KEFUM,女性,非高齢者,既婚,なし,63,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,あり,1年更新,電子請求書,電子決済,107.5,6873.75,Yes
5522-NYKPB,男性,非高齢者,既婚,あり,25,あり,1回線,Fiber optic,なし,なし,なし,あり,あり,なし,毎月更新,紙請求書,電子決済,85.9,2199.05,No
4237-RLAQD,男性,非高齢者,未婚,なし,1,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,郵送小切手,45.85,45.85,Yes
9957-YODKZ,男性,高齢者,既婚,なし,6,あり,複数回線,Fiber optic,なし,なし,あり,なし,なし,なし,毎月更新,電子請求書,電子決済,80.8,457.1,No
6518-KZXCB,男性,非高齢者,未婚,なし,22,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,郵送小切手,25.25,566.5,No
2245-ADZFJ,女性,非高齢者,既婚,あり,31,あり,複数回線,DSL,なし,あり,なし,あり,あり,あり,2年更新,紙請求書,口座引き落とし,80.55,2471.6,No
7776-QGYJC,女性,非高齢者,既婚,あり,39,あり,1回線,Fiber optic,なし,なし,あり,あり,なし,なし,毎月更新,電子請求書,口座引き落とし,81.5,3107.3,No
9313-QOLTZ,男性,非高齢者,未婚,なし,26,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.9,518.3,No
9651-GTSAQ,女性,非高齢者,既婚,なし,53,あり,1回線,Fiber optic,あり,あり,あり,なし,あり,あり,1年更新,電子請求書,口座引き落とし,106.1,5769.75,Yes
3186-BAXNB,女性,非高齢者,未婚,なし,1,あり,1回線,Fiber optic,なし,あり,なし,あり,あり,なし,毎月更新,紙請求書,電子決済,91.7,91.7,Yes
4672-FOTSD,男性,非高齢者,未婚,なし,12,あり,複数回線,DSL,あり,あり,なし,あり,なし,なし,毎月更新,電子請求書,電子決済,67.25,832.3,No
0637-YLETY,女性,非高齢者,未婚,なし,16,あり,複数回線,Fiber optic,なし,あり,あり,なし,なし,あり,毎月更新,電子請求書,クレジットカード,95.6,1555.65,Yes
9818-XQCUV,女性,非高齢者,未婚,なし,2,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.35,45.3,No
7338-ERIVA,男性,非高齢者,未婚,あり,39,なし,電話契約なし,DSL,あり,なし,なし,あり,あり,なし,1年更新,紙請求書,口座引き落とし,45.05,1790.6,No
1157-BQCUW,男性,非高齢者,未婚,なし,1,あり,複数回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,74.95,74.95,Yes
8259-NFJTV,女性,非高齢者,既婚,あり,7,なし,電話契約なし,DSL,あり,なし,なし,あり,なし,なし,毎月更新,紙請求書,郵送小切手,34.65,246.6,No
3223-DWFIO,男性,高齢者,未婚,なし,4,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,69.35,261.65,No
2660-EMUBI,男性,高齢者,未婚,なし,10,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,95.35,898.35,Yes
6968-GMKPR,女性,非高齢者,未婚,なし,55,あり,1回線,Fiber optic,なし,あり,あり,なし,なし,なし,毎月更新,電子請求書,電子決済,81.55,4509.5,No
4751-ERMAN,男性,非高齢者,既婚,あり,72,あり,1回線,DSL,なし,あり,あり,なし,あり,あり,2年更新,電子請求書,口座引き落とし,75.4,5480.25,No
1436-ZMJAN,女性,非高齢者,既婚,なし,10,あり,1回線,DSL,なし,なし,あり,なし,あり,あり,毎月更新,電子請求書,クレジットカード,67.8,653.15,No
3292-PBZEJ,男性,高齢者,未婚,なし,11,あり,複数回線,Fiber optic,なし,あり,あり,あり,あり,あり,毎月更新,電子請求書,電子決済,111.4,1183.05,No
0799-DDIHE,女性,非高齢者,既婚,あり,15,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,46.3,639.45,No
3070-FNFZQ,女性,非高齢者,既婚,あり,23,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,20.4,478.75,No
2812-SFXMJ,男性,非高齢者,未婚,あり,1,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,20.05,20.05,No
7675-OZCZG,女性,高齢者,未婚,なし,3,あり,1回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,紙請求書,電子決済,45,127.1,Yes
5014-WUQMG,男性,非高齢者,既婚,あり,47,あり,1回線,Fiber optic,あり,あり,あり,なし,なし,あり,1年更新,電子請求書,電子決済,96.1,4391.45,No
5312-TSZVC,女性,非高齢者,未婚,あり,15,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,紙請求書,郵送小切手,19.65,270.6,No
2003-CKLOR,男性,非高齢者,未婚,なし,66,あり,1回線,Fiber optic,なし,あり,あり,なし,あり,あり,毎月更新,紙請求書,電子決済,99.5,6710.5,Yes
0993-OSGPT,女性,高齢者,既婚,なし,68,あり,1回線,DSL,なし,あり,あり,あり,なし,なし,1年更新,電子請求書,口座引き落とし,60.65,3975.9,No
9254-RBFON,女性,非高齢者,既婚,あり,17,あり,1回線,Fiber optic,なし,なし,あり,あり,あり,あり,1年更新,紙請求書,口座引き落とし,98.6,1704.95,Yes
1205-WNWPJ,女性,非高齢者,未婚,なし,7,あり,1回線,DSL,なし,なし,なし,あり,あり,なし,毎月更新,電子請求書,郵送小切手,59.5,415.95,Yes
9391-EOYLI,男性,高齢者,既婚,なし,12,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,あり,毎月更新,電子請求書,電子決済,80.45,950.2,Yes
7108-DGVUU,女性,高齢者,既婚,なし,21,あり,複数回線,DSL,なし,あり,あり,なし,なし,あり,1年更新,紙請求書,口座引き落とし,71.7,1497.05,No
2782-JEEBU,男性,非高齢者,未婚,なし,21,なし,電話契約なし,DSL,なし,あり,なし,あり,なし,なし,毎月更新,電子請求書,郵送小切手,36,780.15,No
5127-BZENZ,女性,非高齢者,既婚,あり,56,あり,複数回線,DSL,あり,なし,なし,なし,あり,なし,1年更新,紙請求書,口座引き落とし,65.2,3512.15,No
2720-FVBQP,女性,非高齢者,既婚,あり,6,あり,複数回線,DSL,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,クレジットカード,48.95,273.25,No
9906-NHHVC,女性,高齢者,未婚,なし,65,なし,電話契約なし,DSL,なし,あり,あり,なし,あり,あり,2年更新,電子請求書,口座引き落とし,53.5,3517.9,No
4522-XRWWI,男性,非高齢者,既婚,なし,42,あり,複数回線,DSL,あり,なし,なし,あり,あり,あり,1年更新,紙請求書,クレジットカード,80.45,3375.9,No
3766-EJLFL,女性,非高齢者,既婚,あり,68,あり,複数回線,Fiber optic,あり,なし,あり,あり,あり,あり,2年更新,電子請求書,口座引き落とし,109.05,7508.55,No
5939-SXWHM,男性,非高齢者,既婚,あり,48,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,26.3,1245.05,No
8152-UOBNY,女性,高齢者,未婚,なし,50,あり,複数回線,Fiber optic,なし,あり,なし,あり,あり,あり,1年更新,電子請求書,電子決済,106.8,5347.95,No
7351-KYHQH,女性,高齢者,未婚,なし,7,あり,1回線,DSL,なし,あり,あり,なし,あり,なし,毎月更新,電子請求書,電子決済,64.95,493.65,No
7643-RCHXS,女性,非高齢者,既婚,あり,63,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,電子決済,19.35,1263.85,No
8246-SHFGA,男性,非高齢者,未婚,なし,17,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,クレジットカード,21.1,385.55,No
8387-MOJJT,女性,非高齢者,既婚,あり,42,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,なし,毎月更新,電子請求書,クレジットカード,77.95,3384,Yes
0620-XEFWH,男性,非高齢者,既婚,あり,4,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,18.85,84.2,No
6485-QXWWE,女性,非高齢者,未婚,あり,62,あり,複数回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,26,1638.7,No
2761-OCIAX,男性,高齢者,未婚,なし,2,あり,1回線,Fiber optic,なし,あり,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,74.7,165.4,Yes
7321-VGNKU,女性,非高齢者,既婚,なし,2,あり,1回線,Fiber optic,なし,なし,なし,なし,なし,なし,毎月更新,電子請求書,電子決済,70.35,120.25,No
5327-CNLUQ,男性,非高齢者,既婚,なし,48,あり,複数回線,Fiber optic,あり,あり,あり,なし,あり,なし,2年更新,電子請求書,口座引き落とし,96.9,4473.45,No
7552-KEYGT,男性,非高齢者,既婚,なし,27,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,紙請求書,口座引き落とし,19.55,520.55,No
5816-JMLGY,女性,非高齢者,既婚,あり,70,あり,1回線,DSL,なし,あり,あり,あり,あり,あり,2年更新,電子請求書,口座引き落とし,80.4,5717.85,No
3068-OMWZA,男性,高齢者,未婚,なし,1,あり,複数回線,Fiber optic,なし,なし,あり,なし,あり,なし,毎月更新,電子請求書,電子決済,88.8,88.8,Yes
2927-QRRQV,男性,非高齢者,既婚,なし,46,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,なし,1年更新,電子請求書,電子決済,94.65,4312.5,No
6032-KRXXO,男性,非高齢者,未婚,なし,30,あり,1回線,Fiber optic,なし,なし,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,90.25,2755.35,Yes
7459-RRWQZ,女性,非高齢者,未婚,なし,15,あり,複数回線,DSL,あり,なし,なし,なし,なし,あり,毎月更新,電子請求書,口座引き落とし,64.65,994.55,Yes
6265-SXWBU,男性,非高齢者,既婚,あり,69,あり,複数回線,Fiber optic,なし,あり,あり,なし,あり,なし,1年更新,紙請求書,クレジットカード,95.75,6511.25,No
7941-RCJOW,男性,非高齢者,未婚,なし,65,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,クレジットカード,19.55,1218.65,No
6374-NTQLP,男性,高齢者,既婚,あり,72,あり,1回線,Fiber optic,あり,なし,あり,あり,あり,あり,2年更新,電子請求書,クレジットカード,104.1,7447.7,No
4154-AQUGT,男性,高齢者,既婚,なし,13,あり,1回線,Fiber optic,なし,あり,なし,あり,なし,あり,毎月更新,電子請求書,口座引き落とし,89.05,1169.35,Yes
2387-KDZQY,男性,非高齢者,未婚,なし,17,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,電子請求書,郵送小切手,20.1,279.5,No
3584-WKTTW,男性,非高齢者,既婚,なし,51,あり,複数回線,Fiber optic,あり,なし,あり,あり,あり,あり,1年更新,電子請求書,電子決済,111.55,5720.35,No
3399-BMLVW,男性,非高齢者,既婚,あり,51,あり,1回線,DSL,あり,あり,なし,あり,なし,なし,2年更新,紙請求書,クレジットカード,60.5,3121.45,No
1971-DTCZB,女性,非高齢者,既婚,なし,72,あり,複数回線,DSL,あり,あり,あり,あり,あり,あり,2年更新,電子請求書,口座引き落とし,90.95,6468.6,No
3092-IGHWF,男性,非高齢者,既婚,あり,67,あり,複数回線,Fiber optic,なし,あり,あり,なし,なし,なし,1年更新,紙請求書,電子決済,87.4,5918.8,Yes
3374-PZLXD,男性,非高齢者,未婚,なし,34,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,毎月更新,紙請求書,郵送小切手,19.7,675.6,No
3813-DHBBB,男性,非高齢者,既婚,なし,67,なし,電話契約なし,DSL,あり,あり,なし,あり,なし,あり,2年更新,電子請求書,口座引き落とし,50.95,3521.7,No
2812-REYAT,女性,非高齢者,既婚,なし,49,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,1年更新,電子請求書,口座引き落とし,20.05,923.1,No
6518-PPLMZ,男性,非高齢者,既婚,あり,53,あり,1回線,なし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,インターネットなし,2年更新,電子請求書,郵送小切手,19.4,1110.35,No
4939-KYYPY,男性,非高齢者,未婚,なし,27,あり,複数回線,DSL,なし,なし,あり,あり,なし,なし,毎月更新,紙請求書,電子決済,59.45,1611.65,No
8017-LXHFA,女性,高齢者,未婚,なし,23,あり,1回線,Fiber optic,なし,あり,なし,なし,あり,あり,毎月更新,電子請求書,電子決済,94.75,2293.6,Yes
5930-GBIWP,男性,非高齢者,未婚,なし,69,あり,複数回線,DSL,あり,あり,あり,あり,なし,あり,2年更新,電子請求書,クレジットカード,81.5,5553.25,No
6022-KOUQO,女性,非高齢者,既婚,あり,2,なし,電話契約なし,DSL,なし,なし,なし,あり,なし,なし,毎月更新,紙請求書,口座引き落とし,29.05,44.75,No
6352-TWCAU,女性,非高齢者,未婚,なし,35,あり,複数回線,Fiber optic,なし,なし,なし,なし,あり,なし,毎月更新,電子請求書,電子決済,86.45,3029.1,Yes
2361-UPSND,女性,非高齢者,既婚,なし,46,あり,1回線,DSL,あり,あり,なし,あり,なし,あり,1年更新,紙請求書,郵送小切手,70.6,3231.05,No
6035-RIIOM,女性,非高齢者,未婚,なし,54,あり,複数回線,Fiber optic,なし,あり,なし,なし,あり,あり,2年更新,電子請求書,口座引き落とし,97.2,5129.45,No
